Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,battingStyle,playingRole,Batting_Order,Range
Rassie van der Dussen,26,30,2,0,86.70,Right hand Bat,Top order Batter,3,"2,3,4"
Aiden Markram,56,44,7,1,127.30,Right hand Bat,Opening Batter,4,"3,4,5"
Aiden Markram,56,44,7,1,127.30,Right hand Bat,Opening Batter,4,"3,4,5"
Heinrich Klaasen,29,27,3,0,107.40,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Heinrich Klaasen,29,27,3,0,107.40,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
David Miller,17,13,1,1,130.80,Left hand Bat,Middle order Batter,6,"5,6,7"
David Miller,17,13,1,1,130.80,Left hand Bat,Middle order Batter,6,"5,6,7"
Marco Jansen,26,22,3,1,118.20,Left hand Bat,Allrounder,7,"6,7,8"
Marco Jansen,26,22,3,1,118.20,Left hand Bat,Allrounder,7,"6,7,8"
Kagiso Rabada,0,1,0,0,0.00,Left hand Bat,Bowler,8,"7,8,9"
Kagiso Rabada,0,1,0,0,0.00,Left hand Bat,Bowler,8,"7,8,9"
Keshav Maharaj,0,2,0,0,0.00,Right hand Bat,Bowler,9,"8,9,10"
Keshav Maharaj,0,2,0,0,0.00,Right hand Bat,Bowler,9,"8,9,10"
Mitchell Marsh,7,15,0,0,46.70,Right hand Bat,Allrounder,1,1
Mitchell Marsh,7,15,0,0,46.70,Right hand Bat,Allrounder,1,1
David Warner,13,27,2,0,48.10,Left hand Bat,Opening Batter,2,"1,2,3"
David Warner,13,27,2,0,48.10,Left hand Bat,Opening Batter,2,"1,2,3"
Steve Smith,19,16,4,0,118.80,Right hand Bat,Top order Batter,3,"2,3,4"
Steve Smith,19,16,4,0,118.80,Right hand Bat,Top order Batter,3,"2,3,4"
Marnus Labuschagne,46,74,3,0,62.20,Right hand Bat,Top order Batter,4,"3,4,5"
Marnus Labuschagne,46,74,3,0,62.20,Right hand Bat,Top order Batter,4,"3,4,5"
Josh Inglis,5,4,1,0,125.00,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Josh Inglis,5,4,1,0,125.00,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Glenn Maxwell,3,17,0,0,17.60,Right hand Bat,Batting Allrounder,6,"5,6,7"
Glenn Maxwell,3,17,0,0,17.60,Right hand Bat,Batting Allrounder,6,"5,6,7"
Marcus Stoinis,5,4,1,0,125.00,Right hand Bat,Batting Allrounder,7,"6,7,8"
Marcus Stoinis,5,4,1,0,125.00,Right hand Bat,Batting Allrounder,7,"6,7,8"
Mitchell Starc,27,51,3,0,52.90,Left hand Bat,Bowler,8,"7,8,9"
Mitchell Starc,27,51,3,0,52.90,Left hand Bat,Bowler,8,"7,8,9"
Pat Cummins,22,21,4,0,104.80,Right hand Bat,Bowler,9,"8,9,10"
Pat Cummins,22,21,4,0,104.80,Right hand Bat,Bowler,9,"8,9,10"
Adam Zampa,11,16,1,0,68.80,Right hand Bat,Bowler,10,"9,10,11"
Adam Zampa,11,16,1,0,68.80,Right hand Bat,Bowler,10,"9,10,11"
Josh Hazlewood,2,2,0,0,100.00,Left hand Bat,Bowler,11,"10,11"
Josh Hazlewood,2,2,0,0,100.00,Left hand Bat,Bowler,11,"10,11"
Quinton de Kock,3,14,0,0,21.40,Left hand Bat,Wicketkeeper Batter,1,1
Quinton de Kock,3,14,0,0,21.40,Left hand Bat,Wicketkeeper Batter,1,1
Temba Bavuma,0,4,0,0,0.00,Right hand Bat,Top order Batter,2,"1,2,3"
Temba Bavuma,0,4,0,0,0.00,Right hand Bat,Top order Batter,2,"1,2,3"
Rassie van der Dussen,6,31,0,0,19.40,Right hand Bat,Top order Batter,3,"2,3,4"
Rassie van der Dussen,6,31,0,0,19.40,Right hand Bat,Top order Batter,3,"2,3,4"
Aiden Markram,10,20,2,0,50.00,Right hand Bat,Opening Batter,4,"3,4,5"
Aiden Markram,10,20,2,0,50.00,Right hand Bat,Opening Batter,4,"3,4,5"
Heinrich Klaasen,47,48,4,2,97.90,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Heinrich Klaasen,47,48,4,2,97.90,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
David Miller,101,116,8,5,87.10,Left hand Bat,Middle order Batter,6,"5,6,7"
David Miller,101,116,8,5,87.10,Left hand Bat,Middle order Batter,6,"5,6,7"
Marco Jansen,0,1,0,0,0.00,Left hand Bat,Allrounder,7,"6,7,8"
Marco Jansen,0,1,0,0,0.00,Left hand Bat,Allrounder,7,"6,7,8"
Gerald Coetzee,19,39,2,0,48.70,Right hand Bat,Bowler,8,"7,8,9"
Gerald Coetzee,19,39,2,0,48.70,Right hand Bat,Bowler,8,"7,8,9"
Keshav Maharaj,4,8,0,0,50.00,Right hand Bat,Bowler,9,"8,9,10"
Keshav Maharaj,4,8,0,0,50.00,Right hand Bat,Bowler,9,"8,9,10"
Kagiso Rabada,10,12,0,1,83.30,Left hand Bat,Bowler,10,"9,10,11"
Kagiso Rabada,10,12,0,1,83.30,Left hand Bat,Bowler,10,"9,10,11"
Tabraiz Shamsi,1,5,0,0,20.00,Right hand Bat,Bowler,11,"10,11"
Tabraiz Shamsi,1,5,0,0,20.00,Right hand Bat,Bowler,11,"10,11"
Travis Head,62,48,9,2,129.20,Left hand Bat,Middle order Batter,1,1
Travis Head,62,48,9,2,129.20,Left hand Bat,Middle order Batter,1,1
David Warner,29,18,1,4,161.10,Left hand Bat,Opening Batter,2,"1,2,3"
David Warner,29,18,1,4,161.10,Left hand Bat,Opening Batter,2,"1,2,3"
Mitchell Marsh,0,6,0,0,0.00,Right hand Bat,Allrounder,3,"2,3,4"
Mitchell Marsh,0,6,0,0,0.00,Right hand Bat,Allrounder,3,"2,3,4"
Steve Smith,30,62,2,0,48.40,Right hand Bat,Top order Batter,4,"3,4,5"
Steve Smith,30,62,2,0,48.40,Right hand Bat,Top order Batter,4,"3,4,5"
Marnus Labuschagne,18,31,2,0,58.10,Right hand Bat,Top order Batter,5,"4,5,6"
Marnus Labuschagne,18,31,2,0,58.10,Right hand Bat,Top order Batter,5,"4,5,6"
Glenn Maxwell,1,5,0,0,20.00,Right hand Bat,Batting Allrounder,6,"5,6,7"
Glenn Maxwell,1,5,0,0,20.00,Right hand Bat,Batting Allrounder,6,"5,6,7"
Josh Inglis,28,49,3,0,57.10,Right hand Bat,Wicketkeeper Batter,7,"6,7,8"
Josh Inglis,28,49,3,0,57.10,Right hand Bat,Wicketkeeper Batter,7,"6,7,8"
