Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,playingRole,Range
Imam-ul-Haq,36,38,6,0,94.7,Top order Batter,"1,2,3"
Babar Azam,50,58,7,0,86.2,Top order Batter,"2,3,4"
Mohammad Rizwan,49,69,7,0,71,Wicketkeeper Batter,"3,4,5"
Saud Shakeel,6,10,0,0,60,Middle order Batter,"4,5,6"
Iftikhar Ahmed,4,4,1,0,100,Middle order Batter,"5,6,7"
Shadab Khan,2,5,0,0,40,Allrounder,"6,7,8"
Mohammad Nawaz,4,14,0,0,28.6,Allrounder,"7,8,9"
Hasan Ali,12,19,2,0,63.2,Bowler,"8,9,10"
Shaheen Afridi,2,10,0,0,20,Bowler,"9,10,11"
Haris Rauf,2,6,0,0,33.3,Bowler,"10,11"
Rohit Sharma,86,63,6,6,136.5,Top order Batter,1
Shubman Gill,16,11,4,0,145.5,Top order Batter,"1,2,3"
Virat Kohli,16,18,3,0,88.9,Top order Batter,"2,3,4"
Shreyas Iyer,53,62,3,2,85.5,Top order Batter,"3,4,5"
KL Rahul,19,29,2,0,65.5,Opening Batter,"4,5,6"
Rahmanullah Gurbaz,80,57,8,4,140.4,Wicketkeeper Batter,1
Ibrahim Zadran,28,48,3,0,58.3,Opening Batter,"1,2,3"
Rahmat Shah,3,8,0,0,37.5,Top order Batter,"2,3,4"
Hashmatullah Shahidi,14,36,0,0,38.9,Top order Batter,"3,4,5"
Azmatullah Omarzai,19,24,1,1,79.2,Allrounder,"4,5,6"
Ikram Alikhil,58,66,3,2,87.9,Wicketkeeper Batter,"5,6,7"
Mohammad Nabi,9,15,1,0,60,Allrounder,"6,7,8"
Rashid Khan,23,22,3,0,104.5,Bowling Allrounder,"7,8,9"
Mujeeb Ur Rahman,28,16,3,1,175,Bowler,"8,9,10"
Naveen-ul-Haq,5,6,1,0,83.3,Bowler,"9,10,11"
Fazalhaq Farooqi,2,4,0,0,50,Bowler,"10,11"
Jonny Bairstow,2,4,0,0,50,Wicketkeeper Batter,1
Dawid Malan,32,39,4,0,82.1,Top order Batter,"1,2,3"
Joe Root,11,17,2,0,64.7,Top order Batter,"2,3,4"
Harry Brook,66,61,7,1,108.2,Batter,"3,4,5"
Jos Buttler,9,18,1,0,50,Wicketkeeper Batter,"4,5,6"
Liam Livingstone,10,14,1,0,71.4,Batting Allrounder,"5,6,7"
Sam Curran,10,23,0,0,43.5,Allrounder,"6,7,8"
Chris Woakes,9,26,1,0,34.6,Allrounder,"7,8,9"
Adil Rashid,20,13,2,0,153.8,Bowler,"8,9,10"
